Cat	SCat	IdProd	CodVen	Titolo	Descrizione	Peso	Prezzo	Listino	Iva	Marca	Disponibilita	DisponibilitaFutura	PrezzoPromo	DataInizioPromo	DataFinePromo	Ean	LinkImmagine	ProductID	NoDrop
Videogiochi e Toys	Giochi	PS5SW2KG0005	450896	PS5 Civilization 7 EU		0,08	19,5	57,36	22	2K Games	50					5026555438308	https://www.erregame.com/P/D/{BDAD70E8-3EEB-43CE-A8DC-25ADE68EBD41}/PS5SW2KG0005.jpg	49958	0	
Videogiochi e Toys	Giochi	PS5SW5050006		PS5 Assetto Corsa Competizione - Standard Edition		0,08	11,9	25,4	22	505 Games	50					8023171045986	https://www.erregame.com/P/D/C33573DD5415410416000000000000000000000000000000.bmp/PS5SW5050006.jpg	52223	0	
Informatica	Accessori PC	ACCSMACE0004		Acer Micro SD 128GB MSC300		0,02	14,9	22,86	22	Acer	50					6955914617636	https://www.erregame.com/P/D/8638F3B618E5410414000000000000000000000000000000.bmp/ACCSMACE0004.jpg	47780	0	
Informatica	Accessori PC	ACCSMACE0003		Acer Micro SD 256GB MSC300		0,02	26,9	62,3	22	Acer	50					6955914617643	https://www.erregame.com/P/D/8638F3B618E5410413000000000000000000000000000000.bmp/ACCSMACE0003.jpg	47680	0	
Informatica	Accessori PC	ACCSMACE0002		Acer Micro SD 64GB MSC300		0,02	8,5	25,4	22	Acer	36					6955914617629	https://www.erregame.com/P/D/8638F3B618E5410412000000000000000000000000000000.bmp/ACCSMACE0002.jpg	47679	0	
Informatica	Accessori PC	PENPCACE0004		Acer Pendrive UP300 128GB USB 3.2		0,02	11,9	36,88	22	Acer	50					6955914616844	https://www.erregame.com/P/D/C25BB08E18E5410414000000000000000000000000000000.bmp/PENPCACE0004.jpg	47677	0	
Informatica	Accessori PC	PENPCACE0001		Acer Pendrive UP300 16GB USB 3.2		0,2	4,05	10,57	22	Acer	50					6955914616813	https://www.erregame.com/P/D/C25BB08E18E5410411000000000000000000000000000000.bmp/PENPCACE0001.jpg	47674	0	
Informatica	Accessori PC	PENPCACE0002		Acer Pendrive UP300 32GB USB 3.2		0,2	4,6	13,93	22	Acer	50					6955914616820	https://www.erregame.com/P/D/C25BB08E18E5410412000000000000000000000000000000.bmp/PENPCACE0002.jpg	47675	0	
Informatica	Accessori PC	PENPCACE0003		Acer Pendrive UP300 64GB USB 3.2		0,02	5,9	21,31	22	Acer	50					6955914616837	https://www.erregame.com/P/D/C25BB08E18E5410413000000000000000000000000000000.bmp/PENPCACE0003.jpg	47676	0	
Videogiochi e Toys	Accessori Gaming	MPIACACT0159	87146EU	Skylanders Trap - WATER (TT)		0,2	1,9	5,66	22	Activision Blizzard	50					5030917144806	https://www.erregame.com/P/D/B70A618E18F4411559000000000000000000000000000000.bmp/MPIACACT0159.jpg	12350	0	
Videogiochi e Toys	Giochi	PS4SWACT0062	88225IT	PS4 Call of Duty: Black Ops 4	<ul>    <li>Black Ops &egrave; tornato! Preparati a battaglie multigiocatore viscerali e &quot;con i piedi per terra&quot;, all'offerta Zombi pi&ugrave; ricca di sempre e a Blackout, una colossale esperienza in stile battle royale</li>    <li>Il multigiocatore di Call of Duty: Black Ops 4 fa un salto di qualit&agrave; e offre l'esperienza di combattimento pi&ugrave; cruda e realistica di sempre, con un approccio improntato alla tattica e incentrato sulle scelte dei giocatori. Il gioco garantisce un nuovo livello di azione online con un vasto assortimento di armi, mappe e modalit&agrave; inedite. Per la prima volta in assoluto, il multigiocatore &egrave; anche il cuore narrativo del gioco, permettendo ai giocatori di scoprire il ruolo e lo stile di gioco unico di ogni specialista. Con il ritorno del sistema Scegline 10 di Crea una classe, a cui si aggiungono le nuove attrezzature, l'esperienza diventa pi&ugrave; personalizzabile che mai e i giocatori possono scegliere come sviluppare gli specialisti. A tutto questo si aggiunge la possibilit&agrave; di sbloccare serie di punti devastanti, che permettono ai giocatori di dominare da soli o in squadra</li>    <li>Call of Duty: Black Ops 4 offrir&agrave; la modalit&agrave; Zombi pi&ugrave; ricca di sempre con tre esperienze distinte disponibili alla pubblicazione: IX, Viaggio disperato e Sangue dei morti. Con una nuova spumeggiante avventura e un nuovissimo cast di personaggi, la modalit&agrave; Zombi di Call of Duty: Black Ops 4 si preannuncia carica di azione e di segreti che daranno filo da torcere anche ai fan pi&ugrave; accaniti della community</li>    <li>Con la nuova modalit&agrave; Blackout, Black Ops offre un'immensa esperienza in stile battle royale con gli inimitabili combattimenti di Black Ops e veicoli terrestri, navali e aerei nella mappa pi&ugrave; grande nella storia di Call of Duty. Scegli i tuoi personaggi preferiti e combatti in inconfondibili localit&agrave; dell'universo di Black Ops in una sfida di sopravvivenza estrema che unisce tutti i mondi di Black Ops</li></ul>	0,08	9,5	57,3	22	Activision Blizzard	50					5030917239243	https://www.erregame.com/P/D/{8CDB2367-947E-4001-9E41-1206E975CAC4}/PS4SWACT0062.jpg	25869	0	
Videogiochi e Toys	Giochi	PS4SWACT0090	EP2-43758	PS4 Call of Duty: Black Ops7		0,08	39,9	65,56	22	Activision Blizzard	50					196388607631	https://www.erregame.com/P/D/{2C775E86-C6E2-447F-8D79-D114C1F807A7}/PS4SWACT0090.jpg	50864	0	
Videogiochi e Toys	Giochi	PS4SWACT0073	88418IT	PS4 Call of Duty: Modern Warfare ITA / ESP	<ul>    <li>La posta in gioco non &egrave; mai stata cos&igrave; alta, con i giocatori nel ruolo di letali operatori d'elite in una saga mozzafiato che cambier&agrave; gli equilibri del potere mondiale. Call of Duty: Modern Warfare offre ai fan una storia avvincente, cruda, provocatoria e dall'intensit&agrave; impareggiabile, che mette in evidenza la natura mutevole della guerra moderna</li>    <li>Vivi l'esperienza di gioco online definitiva con il classico multigiocatore. Fai squadra e gioca in modalit&agrave; cooperativa in una serie di operazioni d'&eacute;lite accessibili ai giocatori di qualsiasi livello di abilit&agrave;</li></ul>	0,08	14,5	40,9	22	Activision Blizzard	40					5030917285240	https://www.erregame.com/P/D/{8F6B0A83-238A-4854-9776-0C1D0C23B4DE}/PS4SWACT0073.jpg	29404	0	
Videogiochi e Toys	Giochi	PS4SWACT0077	78546IT	PS4 Crash Bandicoot 4 - It´s about time		0,085	15,9	24,51	22	Activision Blizzard	50					5030917291005	https://www.erregame.com/P/D/{87371C1D-F6B9-4646-AA56-AC1853F2057E}/PS4SWACT0077.jpg	32183	0	
Videogiochi e Toys	Giochi	PS4SWACT0067	88388IT	PS4 Crash Team Racing Nitro-Fueled	<ul>    <li>Crash &egrave; tornato dietro al volante! Spingi sull'acceleratore con Crash Team Racing Nitro-Fueled. Rivivi l'esperienza originale di CTR completamente rimasterizzata e goditi i fantastici contenuti aggiuntivi, in un unico pacchetto che ti mander&agrave; su di giri</li>    <li>Riscalda i motori con modalit&agrave;, personaggi, piste, potenziamenti, armi e comandi originali</li>    <li>Conquista la gloria con kart e piste non presenti nel gioco originale</li>    <li>Gareggia con i tuoi amici e scala le classifiche online</li>    <li>La competizione &egrave; spietata come non mai in Crash Team Racing Nitro-Fueled: il CTR che ami... come non l'hai mai guidato prima</li></ul>	0,08	15,5	32,7	22	Activision Blizzard	38					5030917269769	https://www.erregame.com/P/D/{B79155DE-EC9D-413B-BD36-185833161EAF}/PS4SWACT0067.jpg	27595	0	
Videogiochi e Toys	Giochi	PS4SWACT0086	88560IT	PS4 Crash Team Rumble Deluxe Edition		0,08	7,9	24,51	22	Activision Blizzard	50					5030917299247	https://www.erregame.com/P/D/{576688C8-6C89-4800-811B-F9657A9AC12D}/PS4SWACT0086.jpg	44686	0	
Videogiochi e Toys	Giochi	PS4SWACT0061	88237IT	PS4 Spyro Reignited Trilogy	<ul>    <li>Spyro &egrave; tornato! Si &egrave; rifatto il look ed &egrave; pronto a infiammare i cattivi in Spyro Reignited Trilogy</li>    <li>La situazione si fa... scottante! Vulcanico come sempre, irriverente come non mai e rimasterizzato nei minimi dettagli: Spyro &egrave; tornato ed &egrave; pronto a scaldare gli animi</li>    <li>Dai fuoco alle polveri e goditi i tre giochi originali Spyro the Dragon, Spyro 2: Ripto's Rage! e Spyro: Year of the Dragon</li>    <li>Esplora regni sconfinati ricreati in alta definizione, fai amicizia con personaggi indimenticabili e ricorda: se il regno &egrave; in pericolo, c'&egrave; solo un drago che pu&ograve; salvarlo</li></ul>	0,08	15,5	32,7	22	Activision Blizzard	48					5030917242212	https://www.erregame.com/P/D/{706ADAA4-7B0F-4498-9DE2-6E174D76D98D}/PS4SWACT0061.jpg	25866	0	
Videogiochi e Toys	Giochi	PS5SWACT0010	EP2-43778	PS5 Call of Duty Black Ops 7		0,09	39,9	65,56	22	Activision Blizzard	50					196388607808	https://www.erregame.com/P/D/{01B45D39-ABBC-48A7-A449-5DA14DF5216C}/PS5SWACT0010.jpg	50865	0	
